Dataset,Scenario,Method,DP_Improvement,Accuracy_Cost,Category,Final_DP_Diff,Balance_Achieved,Status
brazil,extreme_male_majority,faker,0.0958,0.0157,BREAKTHROUGH,-0.4422,Yes,SUCCESS
brazil,extreme_male_majority,llm_async,0.0542,0.0094,BREAKTHROUGH,-0.4594,Yes,SUCCESS
brazil,original,faker,0,0,FAILED,-0.1933,No,SUCCESS
brazil,original,llm_async,0,0,FAILED,-0.2124,No,SUCCESS
brazil,moderate_balance_labels,faker,0.0115,0.0100,MODERATE,-0.3521,Yes,SUCCESS
brazil,moderate_balance_labels,llm_async,0.0331,0.0090,BREAKTHROUGH,-0.3336,Yes,SUCCESS
brazil,extreme_female_majority,faker,-0.0389,-0.0221,FAILED,0.0616,Yes,SUCCESS
brazil,extreme_female_majority,llm_async,0.0077,0.0169,UNCLEAR,-0.0129,Yes,SUCCESS
brazil,moderate_balance_gender,faker,0.0286,0.0537,MODERATE,-0.1814,Yes,SUCCESS
brazil,moderate_balance_gender,llm_async,0.0213,0.0349,MODERATE,-0.2151,Yes,SUCCESS
brazil,reverse_label_brazil,faker,0.0134,0.0050,MODERATE,-0.3637,Yes,SUCCESS
brazil,reverse_label_brazil,llm_async,0.0167,0.0050,MODERATE,-0.3770,Yes,SUCCESS
brazil,perfect_balance,faker,0.0110,-0.0203,MODERATE,-0.1277,Yes,SUCCESS
brazil,perfect_balance,llm_async,0.0190,0.0023,MODERATE,-0.2275,Yes,SUCCESS
india,extreme_male_majority,faker,-0.0427,-0.0075,FAILED,0.5337,Yes,SUCCESS
india,extreme_male_majority,llm_async,-0.0289,0.0022,FAILED,0.5199,Yes,SUCCESS
india,original,faker,0,0,FAILED,0.1563,No,SUCCESS
india,original,llm_async,0,0,FAILED,0.1193,No,SUCCESS
india,moderate_balance_labels,faker,-0.0013,0.0067,FAILED,0.3823,Yes,SUCCESS
india,moderate_balance_labels,llm_async,0.0341,0.0134,BREAKTHROUGH,0.3469,Yes,SUCCESS
india,extreme_female_majority,faker,0.0124,-0.0062,MODERATE,-0.1832,Yes,SUCCESS
india,extreme_female_majority,llm_async,0.0124,0.0037,MODERATE,-0.1832,Yes,SUCCESS
india,moderate_balance_gender,faker,-0.0223,0.0212,FAILED,0.2053,Yes,SUCCESS
india,moderate_balance_gender,llm_async,0.0187,0.0077,MODERATE,0.1727,Yes,SUCCESS
india,reverse_label_brazil,faker,0.0135,-0.0015,MODERATE,0.3553,Yes,SUCCESS
india,reverse_label_brazil,llm_async,0.0101,0.0090,MODERATE,0.3553,Yes,SUCCESS
india,perfect_balance,faker,-0.0226,0.0012,FAILED,0.2832,Yes,SUCCESS
india,perfect_balance,llm_async,0.0105,0.0049,MODERATE,0.2513,Yes,SUCCESS
africa,extreme_male_majority,faker,0.0763,-0.0169,BREAKTHROUGH,0.3758,Yes,SUCCESS
africa,extreme_male_majority,llm_async,0.1077,-0.0093,BREAKTHROUGH,0.3352,Yes,SUCCESS
africa,original,faker,0,0,FAILED,-0.0169,No,SUCCESS
africa,original,llm_async,0,0,FAILED,-0.0169,No,SUCCESS
africa,moderate_balance_labels,faker,0.0439,0.0089,BREAKTHROUGH,0.1645,Yes,SUCCESS
africa,moderate_balance_labels,llm_async,0.0431,0.0086,BREAKTHROUGH,0.1647,Yes,SUCCESS
africa,extreme_female_majority,faker,0.0239,-0.0204,MODERATE,-0.3205,Yes,SUCCESS
africa,extreme_female_majority,llm_async,0.0270,-0.0154,MODERATE,-0.3004,Yes,SUCCESS
africa,moderate_balance_gender,faker,0.0316,0.0094,BREAKTHROUGH,-0.0002,Yes,SUCCESS
africa,moderate_balance_gender,llm_async,0.0196,0.0152,MODERATE,-0.0111,Yes,SUCCESS
africa,reverse_label_brazil,faker,0.0484,0.0069,BREAKTHROUGH,0.1777,Yes,SUCCESS
africa,reverse_label_brazil,llm_async,0.0452,0.0059,BREAKTHROUGH,0.1802,Yes,SUCCESS
africa,perfect_balance,faker,0.0038,0.0022,UNCLEAR,0.0962,Yes,SUCCESS
africa,perfect_balance,llm_async,-0.0014,-0.0009,FAILED,0.0942,Yes,SUCCESS
