Dataset,Scenario,Sensitive_Ratio,Label_Ratio,Method,DP_Improvement,Accuracy_Cost,Category,Final_DP_Diff,Balance_Achieved,Status,Duration_Seconds
brazil,extreme_sensitive_balanced,0.8,0.5,faker,-0.0175,0.0360,FAILED,N/A,No,SUCCESS,2
brazil,balanced_extreme_labels,0.5,0.8,faker,0.0116,0.0019,MODERATE,N/A,No,SUCCESS,1
brazil,moderate_sensitive_balanced,0.65,0.5,faker,-0.0192,-0.0038,FAILED,N/A,No,SUCCESS,1
brazil,balanced_balanced,0.5,0.5,faker,0.0006,0.0105,UNCLEAR,N/A,No,SUCCESS,2
brazil,moderate_compound,0.6,0.6,faker,0.0158,0.0166,MODERATE,N/A,No,SUCCESS,1
brazil,reverse_sensitive,0.3,0.5,faker,-0.0200,0.0107,FAILED,N/A,No,SUCCESS,1
brazil,balanced_moderate_labels,0.5,0.7,faker,0.0036,-0.0007,UNCLEAR,N/A,No,SUCCESS,1
brazil,extreme_compound,0.7,0.7,faker,0.0176,-0.0006,MODERATE,N/A,No,SUCCESS,2
brazil,reverse_extreme_sensitive,0.2,0.5,faker,0.0158,0.0074,MODERATE,N/A,No,SUCCESS,1
brazil,original_ratios,original,original,faker,-0.0175,0.0068,FAILED,N/A,No,SUCCESS,1
india,extreme_sensitive_balanced,0.8,0.5,faker,-0.0690,0.0523,FAILED,N/A,No,SUCCESS,9
india,balanced_extreme_labels,0.5,0.8,faker,0.0036,0.0041,UNCLEAR,N/A,No,SUCCESS,4
india,moderate_sensitive_balanced,0.65,0.5,faker,-0.0182,-0.0102,FAILED,N/A,No,SUCCESS,6
india,balanced_balanced,0.5,0.5,faker,-0.0049,0.0025,FAILED,N/A,No,SUCCESS,4
india,moderate_compound,0.6,0.6,faker,0.0079,0.0078,UNCLEAR,N/A,No,SUCCESS,5
india,reverse_sensitive,0.3,0.5,faker,-0.0019,-0.0066,FAILED,N/A,No,SUCCESS,2
india,balanced_moderate_labels,0.5,0.7,faker,0.0010,-0.0011,UNCLEAR,N/A,No,SUCCESS,4
india,extreme_compound,0.7,0.7,faker,0.0077,0.0152,UNCLEAR,N/A,No,SUCCESS,7
india,reverse_extreme_sensitive,0.2,0.5,faker,0.0084,-0.0013,UNCLEAR,N/A,No,SUCCESS,3
india,original_ratios,original,original,faker,-0.0308,0.0561,FAILED,N/A,No,SUCCESS,2
africa,extreme_sensitive_balanced,0.8,0.5,faker,-0.0257,0.0518,FAILED,N/A,No,SUCCESS,4
africa,balanced_extreme_labels,0.5,0.8,faker,0.0022,0.0025,UNCLEAR,N/A,No,SUCCESS,3
africa,moderate_sensitive_balanced,0.65,0.5,faker,-0.0051,-0.0264,FAILED,N/A,No,SUCCESS,3
africa,balanced_balanced,0.5,0.5,faker,0.0051,0.0022,UNCLEAR,N/A,No,SUCCESS,2
africa,moderate_compound,0.6,0.6,faker,-0.0026,-0.0039,FAILED,N/A,No,SUCCESS,4
africa,reverse_sensitive,0.3,0.5,faker,0.0010,-0.0006,UNCLEAR,N/A,No,SUCCESS,2
africa,balanced_moderate_labels,0.5,0.7,faker,0.0025,0.0026,UNCLEAR,N/A,No,SUCCESS,3
africa,extreme_compound,0.7,0.7,faker,0.0039,-0.0102,UNCLEAR,N/A,No,SUCCESS,4
africa,reverse_extreme_sensitive,0.2,0.5,faker,0.0068,-0.0024,UNCLEAR,N/A,No,SUCCESS,3
africa,original_ratios,original,original,faker,-0.0141,0.0141,FAILED,N/A,No,SUCCESS,2
